"Gene","Module"
"ASPN","black"
"ASPSCR1","blue"
"ASRGL1","grey"
"ASS1","grey"
"ASTE1","grey"
"ASTL","blue"
"ASTN2","turquoise"
"ASXL2","brown"
"ATAD1","turquoise"
"ATAD2","magenta"
"ATAD2B","grey"
"ATAD3A","turquoise"
"ATAD5","magenta"
"ATAT1","grey"
"ATCAY","blue"
"ATE1","blue"
"ATF1","brown"
"ATF2","blue"
"ATF3","grey"
"ATF4","brown"
"ATF5","turquoise"
"ATF6","grey"
"ATF6B","brown"
"ATF7","brown"
"ATF7IP","brown"
"ATF7IP2","grey"
"ATG10","blue"
"ATG101","grey"
"ATG12","grey"
"ATG13","brown"
"ATG14","turquoise"
"ATG16L1","turquoise"
"ATG2A","turquoise"
"ATG2B","yellow"
"ATG3","grey"
"ATG4A","yellow"
"ATG4B","grey"
"ATG4C","grey"
"ATG4D","turquoise"
"ATG5","turquoise"
"ATG7","purple"
"ATG9A","brown"
"ATG9B","grey"
"ATIC","blue"
"ATL1","grey"
"ATL2","brown"
"ATL3","turquoise"
"ATM","grey"
"ATMIN","brown"
"ATN1","brown"
"ATOH1","salmon"
"ATOH7","blue"
"ATOH8","grey"
"ATOSA","grey"
"ATOSB","grey"
"ATOX1","magenta"
"ATP10A","grey"
"ATP10B","grey"
"ATP10D","turquoise"
"ATP11A","grey"
"ATP11B","turquoise"
"ATP11C","turquoise"
"ATP13A1","turquoise"
"ATP13A2","green"
"ATP13A3","turquoise"
"ATP13A4","yellow"
"ATP1A1","yellow"
"ATP1A2","midnightblue"
"ATP1A3","turquoise"
"ATP1B1","lightcyan"
"ATP1B2","grey"
"ATP1B3","turquoise"
"ATP23","brown"
"ATP2A2","green"
"ATP2A3","grey"
"ATP2B1","turquoise"
"ATP2B4","black"
"ATP2C1","turquoise"
"ATP2C2","grey"
"ATP4A","green"
"ATP5F1A","turquoise"
"ATP5F1B","turquoise"
"ATP5F1C","yellow"
"ATP5F1D","grey"
"ATP5F1E","grey"
"ATP5F1EP2","brown"
"ATP5MC1","brown"
"ATP5MC2","brown"
"ATP5ME","turquoise"
"ATP5MF","brown"
"ATP5MF-PTCD1","turquoise"
"ATP5MG","grey"
"ATP5MJ","grey"
"ATP5MK","grey"
"ATP5PB","turquoise"
"ATP5PD","turquoise"
"ATP5PF","grey"
"ATP5PO","grey"
"ATP6AP1","brown"
"ATP6AP1-DT","blue"
"ATP6AP1L","turquoise"
"ATP6AP2","turquoise"
"ATP6V0A1","blue"
"ATP6V0A2","grey"
"ATP6V0B","grey"
"ATP6V0C","turquoise"
"ATP6V0D1","brown"
"ATP6V0D2","grey"
"ATP6V0E1","brown"
"ATP6V0E2","turquoise"
"ATP6V1A","turquoise"
"ATP6V1B1","blue"
"ATP6V1B2","purple"
"ATP6V1C1","turquoise"
"ATP6V1C2","grey"
"ATP6V1D","turquoise"
"ATP6V1E1","turquoise"
"ATP6V1E2","brown"
"ATP6V1F","brown"
"ATP6V1G1","brown"
"ATP6V1H","turquoise"
"ATP7A","blue"
"ATP7B","grey"
"ATP8A1","grey"
"ATP8B1","lightcyan"
"ATP8B2","lightgreen"
"ATP8B4","purple"
"ATP9A","grey"
"ATPAF1","brown"
"ATPAF2","brown"
"ATPSCKMT","turquoise"
"ATR","turquoise"
"ATRAID","brown"
"ATRN","grey"
"ATRNL1","greenyellow"
"ATRX","turquoise"
"ATXN1","black"
"ATXN10","grey"
"ATXN2","brown"
"ATXN2L","brown"
"ATXN3","turquoise"
"ATXN7","green"
"ATXN7L1","brown"
"ATXN7L2","blue"
"ATXN7L3","grey"
"ATXN7L3B","turquoise"
"AUH","yellow"
"AUP1","brown"
"AURKA","magenta"
"AURKAIP1","blue"
"AURKB","magenta"
"AUTS2","grey"
"AVEN","grey"
"AVIL","grey"
"AVL9","grey"
"AVP","blue"
"AVPI1","brown"
"AVPR1A","grey"
"AXL","black"
"AZGP1","yellow"
"AZI2","grey"
"AZIN1","turquoise"
"AZIN2","grey"
"AZU1","blue"
"B2M","green"
"B3GALNT1","grey"
"B3GALNT2","yellow"
"B3GALT1","grey"
"B3GALT2","grey"
"B3GALT4","turquoise"
"B3GALT5","grey"
"B3GALT5-AS1","grey"
"B3GALT6","blue"
"B3GAT1","blue"
"B3GAT3","grey"
"B3GLCT","turquoise"
"B3GNT2","turquoise"
"B3GNT3","pink"
"B3GNT5","turquoise"
"B3GNT6","grey"
"B3GNT7","grey"
"B3GNT9","grey"
"B4GALNT1","grey"
"B4GALNT2","blue"
"B4GALNT3","pink"
"B4GALNT4","blue"
"B4GALT1","black"
"B4GALT2","grey"
"B4GALT3","brown"
"B4GALT4","turquoise"
"B4GALT5","brown"
"B4GALT6","grey"
"B4GALT7","brown"
"B4GAT1","grey"
"B9D1","grey"
"B9D2","blue"
"BAAT","grey"
