"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","status"
"ERVFRD-2",-0.0795325227701253,3.7357516093492,-2.90288409656436,0.00403878967820573,0.00915776876291081,-2.79979084615349,"Not Significant"
"FBXL19-AS1",-0.09961211176214,3.91783902115145,-2.90284511933864,0.00403927517792069,0.00915783001178068,-2.79989954564512,"Not Significant"
"MIR326",-0.137765770473669,8.28740013895443,-2.90238084049147,0.0040450623285526,0.00916990976625918,-2.80119421955837,"Not Significant"
"CAMK2B",-0.176820785351706,4.5018266129855,-2.90208277023364,0.00404878171021093,0.0091772998047836,-2.80202530750336,"Not Significant"
"LIPM",-0.0745848615273745,3.71847750787756,-2.90183047818162,0.00405193230257792,0.00918339904818919,-2.8027286931887,"Not Significant"
"APOBEC1",0.192423019099292,4.59102438473814,2.90172578074296,0.00405324040871268,0.00918532152525834,-2.80302057102265,"Not Significant"
"KLF10",-0.172114143050926,8.3381369328046,-2.90162375845816,0.00405451546208901,0.00918716867155598,-2.80330498156064,"Not Significant"
"SNORD76",0.243097005445385,8.65033935045077,2.90040121993029,0.00406982301757333,0.00922080818432505,-2.80671236327608,"Not Significant"
"SLC35D3",-0.105138673700131,5.15470502716722,-2.90027923885716,0.00407135324983491,0.00922322896815272,-2.80705226773623,"Not Significant"
"STEAP1B",0.129534520132465,4.08421847101746,2.90021416014476,0.00407216986638254,0.00922403276379279,-2.80723360635787,"Not Significant"
"OTOF",-0.0888202013082742,4.2739293158252,-2.90013144144049,0.00407320804784897,0.00922533819568378,-2.80746409247215,"Not Significant"
"NYX",-0.0894207661985043,5.83847865590566,-2.89950222353746,0.00408111311798397,0.00924219426514874,-2.80921713487816,"Not Significant"
"OR13D1",-0.0704647761205028,2.98359013531853,-2.89922523770284,0.00408459742067558,0.00924881215954058,-2.80998872320385,"Not Significant"
"NPFFR1",-0.167052515618296,5.60516397619567,-2.8991963080599,0.00408496149351492,0.00924881215954058,-2.81006930738623,"Not Significant"
"FAM223A",-0.0637574307615929,3.67401939635968,-2.89866331924396,0.00409167433853333,0.00926296081127334,-2.81155382580573,"Not Significant"
"CPN1",-0.0816819772728206,3.62243385175528,-2.89799101810019,0.0041001561499959,0.00928055009434814,-2.81342600395154,"Not Significant"
"RPL22",-0.352988974049291,5.14989920384279,-2.89795806865819,0.00410057225552667,0.00928055009434814,-2.81351774889222,"Not Significant"
"SLC25A31",-0.0603060013378327,3.30415523105001,-2.8979370394057,0.00410083784583542,0.00928055009434814,-2.81357630256277,"Not Significant"
